index,Project ID,Contractor ID,Project County,Project City,Project ZIP,Climate Zone,Weather Station,Weather Station-Normalization,Project Completion Date,Customer Type,Size of Home,Volume of Home,Number of Units,Year Home Built,Total Project Cost ($),Contractor Incentive ($),Total Incentives ($),Amount Financed Through Program ($),Estimated Annual Electric Savings (kWh),Estimated Annual Gas Savings (MMBtu),Estimated First Year Energy Bill Savings ($),Baseline Electric (kWh),Baseline Gas (MMBtu),Reporting Electric (kWh),Reporting Gas (MMBtu),Evaluated Annual Electric Savings (kWh),Evaluated Annual Gas Savings (MMBtu),Central Hudson,Consolidated Edison,LIPA,National Grid,National Fuel Gas,NYSEG,Orange and Rockland,Rochester Gas and Electric,Location 1
0,P00000034473,CY0000000014,Onondaga,Fabius,13063,5|A|Cold,725190,725190,08/17/2007,Market,2422.0,17602.0,,1977.0,10000.0,500.0,1000.0,0.0,,,580.52,11535.6,0.0,10484.28,0.0,1051.32,0.0,False,False,False,True,False,False,False,False,"Fabius, NY 13063
(42.850323, -75.979919)"
1,P00000110370,CY0000000014,Onondaga,Nedrow,13120,5|A|Cold,725190,725190,10/04/2007,Assisted,826.0,5873.0,1.0,1890.0,20000.0,500.0,5000.0,15000.0,,,2329.59,24581.05,0.0,15336.66,0.0,9244.4,0.0,False,False,False,True,False,False,False,False,"Nedrow, NY 13120
(42.950373, -76.163321)"
2,P00000182080,CY0000000014,Onondaga,Jamesville,13078,5|A|Cold,725190,725190,02/27/2008,Market,1920.0,15360.0,1.0,1982.0,20900.0,500.0,0.0,15000.0,,,236.7,6967.74,0.0,7857.65,0.0,-889.91,0.0,False,False,False,True,False,False,False,False,"Jamesville, NY 13078
(42.976691, -76.069719)"
3,P00000196191,CY0000000261,Albany,Albany,12203,5|A|Cold,725180,725180,02/20/2008,Assisted,1620.0,12960.0,1.0,1940.0,8420.0,421.0,4210.0,0.0,,,658.47,11014.74,0.0,13218.14,0.0,-2203.4,0.0,False,False,False,True,False,False,False,False,"Albany, NY 12203
(42.680815, -73.836193)"
4,P00000327900,CY0000000004,Erie,Buffalo,14221,5|A|Cold,725280,725280,06/18/2008,Market,3330.0,26640.0,1.0,1954.0,15586.05,500.0,1558.6,0.0,,,2128.74,10070.06,0.0,10537.48,0.0,-467.42,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14221
(42.980424, -78.728009)"
5,P00000397503,CY0000000595,Erie,Williamsville,14221,5|A|Cold,725280,725280,10/31/2007,Market,1500.0,12000.0,,1952.0,1890.0,94.5,189.0,0.0,,,29.51,3982.88,0.0,4341.31,0.0,-358.43,0.0,False,False,False,True,False,False,False,False,"Williamsville, NY 14221
(42.980424, -78.728009)"
6,P00000416404,CY0000000261,Albany,Guilderland,12084,5|A|Cold,725180,725180,10/12/2007,Market,2100.0,16800.0,,1984.0,8100.0,0.0,810.0,0.0,,,312.32,0.0,72.58,0.0,76.88,0.0,-4.3,False,False,False,True,False,False,False,False,"Guilderland, NY 12084
(42.701067, -73.900339)"
7,P00000423004,CY0000000036,Saratoga,Gansevoort,12831,5|A|Cold,725180,725180,07/20/2007,Market,1240.0,11240.0,1.0,1975.0,3181.0,234.05,318.1,0.0,,,312.03,9857.35,0.0,6175.31,0.0,3682.03,0.0,False,False,False,True,False,False,False,False,"Gansevoort, NY 12831
(43.188019, -73.693309)"
8,P00000445520,CY0000000131,Erie,Buffalo,14226,5|A|Cold,725280,725280,01/01/2008,Market,2000.0,16000.0,1.0,1945.0,8150.0,407.5,815.0,0.0,,,791.67,8371.87,0.0,9594.38,0.0,-1222.51,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14226
(42.970111, -78.798863)"
9,P00000467105,CY0000000107,Albany,Albany,12211,5|A|Cold,725180,725180,06/16/2007,Market,2494.0,19952.0,,1986.0,4620.0,231.0,462.0,0.0,,,2259.57,15464.86,91.65,11995.49,97.36,3469.37,-5.72,False,False,False,True,False,False,False,False,"Albany, NY 12211
(42.708691, -73.767259)"
